id,price_doc
30474,5313607.4048855845
30475,8132878.52815094
30476,5298266.786303924
30477,6107813.375979221
30478,5039090.266117515
30479,9579853.317330066
30480,4181090.690835405
30481,4293360.972673416
30482,4297834.893812802
30483,4935541.49887159
30484,6054292.038238829
30485,4681746.959968821
30486,3835376.891547829
30487,4414417.343035715
30488,6554305.636461521
30489,5716089.206561049
30490,21918435.160375744
30491,16406934.889006685
30492,6104143.332983781
30493,12530557.422948949
30494,6997845.100925459
30495,9725231.119808279
30496,8029612.073148247
30497,7923562.207593283
30498,4258890.733173739
30499,7075417.342364615
30500,11973333.018206293
30501,6847638.54090561
30502,3042053.2672745576
30503,6211261.221238661
30504,5947780.990939698
30505,11202727.26899815
30506,2920095.8529767925
30507,4851602.160202337
30508,5117963.423785901
30509,7621395.138362888
30510,9105259.770967795
30511,6381868.214461556
30512,5945903.513126796
30513,4164472.7756177485
30514,3331709.9973544003
30515,9692182.874821693
30516,5603145.299769968
30517,11061836.393348988
30518,6923132.802930113
30519,4638229.156917014
30520,7016258.614435795
30521,5792789.068827318
30522,7348736.313411025
30523,6519491.51231458
30524,9577913.258126993
30525,9605926.531644402
30526,4808205.322228776
30527,5053916.5042289235
30528,6782193.601822622
30529,6173797.945359908
30530,5866135.92069712
30531,14780109.56096993
30532,4635076.5022738995
30533,9821971.468400078
30534,6555257.221866207
30535,9347829.706133094
30536,5339906.973750122
30537,11229977.728859443
30538,5077756.901399691
30539,7604743.247666591
30540,9535431.555505507
30541,6075481.495673004
30542,2206608.007641724
30543,5727415.741989834
30544,7143040.096148057
30545,8250050.0416831765
30546,4129607.428046517
30547,10462014.280758858
30548,4438871.044665467
30549,5466694.891503055
30550,13275511.78439594
30551,5267301.044747013
30552,1953298.0021181945
30553,6841749.562300045
30554,11028061.51085954
30555,5967305.306329733
30556,9250511.978819527
30557,7904220.306174027
30558,8192918.607744196
30559,5927512.38360521
30560,5773315.581357813
30561,6902285.488385111
30562,12293424.23355446
30563,4553193.656537497
30564,7303815.689749371
30565,7068062.718656011
30566,6997493.506538827
30567,2174486.8546113544
30568,9855401.973536793
30569,11180069.325218746
30570,6409401.480643524
30571,7936708.734928619
30572,4827091.96783332
30573,6214300.463628529
30574,6008590.493329218
30575,7108663.346229132
30576,4683071.505291611
